territorio,nome,gap_studio_F_M,gap_lavoro_F_M,ribaltamento,pendolari,km_capoluogo
083052,Mistretta,-1.7559682801778855,-3.957698815566838,2.2017305353889522,1238.0,103.59395312951426
083053,Moio Alcantara,17.540983606557376,-20.42490118577075,37.965884792328126,203.0,50.408195534059736
083054,Monforte San Giorgio,7.575757575757578,1.6903805401690377,5.88537703558854,722.0,10.851624993520556
083055,Mongiuffi Melia,2.0435069215556965,-20.15503875968993,22.198545681245626,176.0,37.159790002097694
083056,Montagnareale,9.388335704125176,-4.579265457926539,13.967601162051714,419.0,50.67694012072946
083057,Montalbano Elicona,13.761904761904763,-4.607932643538241,18.369837405443004,566.0,46.69986180921738
083058,Motta Camastra,-8.5852930197835,-2.4761904761904816,-6.109102543593018,248.0,41.40395065691195
083059,Motta d'Affermo,6.7692307692307665,-4.94047619047619,11.709706959706956,166.0,107.46586856300004
083060,Naso,0.4606504606504558,9.169833045480715,-8.709182584830259,1029.0,65.17818985673046
083061,Nizza di Sicilia,2.8813995369179324,0.5849170223694244,2.296482514548508,955.0,22.102810341673745
083062,Novara di Sicilia,8.997867803837956,5.851777330650574,3.1460904731873818,353.0,37.26052820344875
083063,Oliveri,19.011627906976745,-7.214912280701753,26.2265401876785,544.0,41.86589209607267
083064,Pace del Mela,13.281888856896053,7.374789966620703,5.90709889027535,1694.0,18.34182897096143
083065,Pagliara,4.087301587301582,4.895104895104893,-0.8078033078033116,288.0,26.12383911296347
083066,Patti,2.489193083573488,-3.6410943754904395,6.130287459063927,3690.0,45.83625032657012
083067,Pettineo,14.118104118104114,-9.10742496050553,23.225529078609643,331.0,108.91533413160884
083068,Piraino,3.9806967984934047,2.343061854992442,1.637634943500963,1121.0,56.166425362488575
083069,Raccuja,-2.5027808676307046,-8.226495726495727,5.723714858865023,300.0,54.37652597398992
083070,Reitano,-9.642857142857146,11.261854583772397,-20.904711726629543,177.0,105.04687975375565
083071,Roccafiorita,0.0,-18.686868686868678,18.686868686868678,49.0,34.578525836131305
083072,Roccalumera,1.3115249989196727,6.46170578901495,-5.150180790095277,1039.0,23.55079455135219
083073,Roccavaldina,19.101123595505612,-8.630421865715988,27.7315454612216,295.0,11.556349120721475
083074,Roccella Valdemone,-2.2222222222222214,-15.52981552981553,13.307593307593308,200.0,51.695401130081194
083075,Rodì Milici,1.509587923296614,-1.448045334656463,2.957633257953077,555.0,32.38080063865006
083076,Rometta,-0.3308753395912376,-5.9344790547798,5.603603715188562,1652.0,8.820379640355624
083077,San Filippo del Mela,2.7030559694664476,-2.520669997357267,5.223725966823714,1839.0,20.63270355527845
083078,San Fratello,0.3886176772867387,-11.016633472566443,11.405251149853182,930.0,82.33572080816442
083079,San Marco d'Alunzio,-0.5052125100240588,-15.917516218721037,15.412303708696978,631.0,71.6016941838669
083080,San Pier Niceto,8.084190385075345,6.226861857065003,1.857328528010342,673.0,13.710159517671558
083081,San Piero Patti,0.023014959723820283,-8.099089989888778,8.122104949612599,798.0,50.98071816873512
083082,San Salvatore di Fitalia,-17.391304347826086,-13.578216374269005,-3.8130879735570815,299.0,65.05043437210854
083083,Santa Domenica Vittoria,3.095238095238095,-27.432432432432435,30.52767052767053,333.0,55.34466545205599
083084,Sant'Agata di Militello,2.3336160024908406,-2.6492043636918297,4.98282036618267,3447.0,78.49124547998969
083085,Sant'Alessio Siculo,-0.42078687144961435,-0.9345794392523317,0.5137925678027173,428.0,31.76124665374456
083086,Santa Lucia del Mela,-0.78125,-8.107596359806394,7.326346359806394,1196.0,20.305660787081028
083087,Santa Marina Salina,-4.166666666666664,-6.280027453671929,2.1133607870052646,156.0,71.06381113478224
083088,Sant'Angelo di Brolo,1.8979560473336434,0.3479696141929125,1.549986433140731,913.0,54.87332099481496
