territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2018,T,Y35-39,ALL,TOTAL,3545
082006,2019,T,Y35-39,ALL,TOTAL,3409
082006,2020,T,Y35-39,ALL,TOTAL,3254
082006,2021,T,Y35-39,ALL,TOTAL,3338
082006,2022,T,Y35-39,ALL,TOTAL,3228
082006,2023,T,Y35-39,ALL,TOTAL,3239
082006,2024,T,Y35-39,ALL,TOTAL,3350
082006,2001,T,Y40-44,ALL,TOTAL,3539
082006,2011,T,Y40-44,ALL,TOTAL,4130
082006,2018,T,Y40-44,ALL,TOTAL,3760
082006,2019,T,Y40-44,ALL,TOTAL,3682
082006,2020,T,Y40-44,ALL,TOTAL,3665
082006,2021,T,Y40-44,ALL,TOTAL,3564
082006,2022,T,Y40-44,ALL,TOTAL,3550
082006,2023,T,Y40-44,ALL,TOTAL,3477
082006,2024,T,Y40-44,ALL,TOTAL,3365
082006,2001,T,Y45-49,ALL,TOTAL,3181
082006,2011,T,Y45-49,ALL,TOTAL,4025
082006,2018,T,Y45-49,ALL,TOTAL,4008
082006,2019,T,Y45-49,ALL,TOTAL,3966
082006,2020,T,Y45-49,ALL,TOTAL,3865
082006,2021,T,Y45-49,ALL,TOTAL,3896
082006,2022,T,Y45-49,ALL,TOTAL,3856
082006,2023,T,Y45-49,ALL,TOTAL,3803
082006,2024,T,Y45-49,ALL,TOTAL,3784
082006,2001,T,Y50-54,ALL,TOTAL,3066
082006,2011,T,Y50-54,ALL,TOTAL,3572
082006,2018,T,Y50-54,ALL,TOTAL,4021
082006,2019,T,Y50-54,ALL,TOTAL,4064
082006,2020,T,Y50-54,ALL,TOTAL,4002
082006,2021,T,Y50-54,ALL,TOTAL,4043
082006,2022,T,Y50-54,ALL,TOTAL,4038
082006,2023,T,Y50-54,ALL,TOTAL,4000
082006,2024,T,Y50-54,ALL,TOTAL,3975
082006,2001,T,Y55-59,ALL,TOTAL,2514
082006,2011,T,Y55-59,ALL,TOTAL,3182
082006,2018,T,Y55-59,ALL,TOTAL,3752
082006,2019,T,Y55-59,ALL,TOTAL,3776
082006,2020,T,Y55-59,ALL,TOTAL,3846
082006,2021,T,Y55-59,ALL,TOTAL,3908
082006,2022,T,Y55-59,ALL,TOTAL,3879
082006,2023,T,Y55-59,ALL,TOTAL,3959
082006,2024,T,Y55-59,ALL,TOTAL,4028
082006,2001,T,Y5-9,ALL,TOTAL,3348
