territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2021,F,Y41,41.0,ALL,FRGAPO,2
082023,2022,F,Y41,41.0,ALL,FRGAPO,1
082023,2023,F,Y41,41.0,ALL,FRGAPO,2
082023,2021,F,Y41,41.0,ALL,ITL,92
082023,2022,F,Y41,41.0,ALL,ITL,88
082023,2023,F,Y41,41.0,ALL,ITL,91
082023,2024,F,Y41,41.0,ALL,ITL,61
082023,2021,F,Y41,41.0,ALL,TOTAL,94
082023,2022,F,Y41,41.0,ALL,TOTAL,89
082023,2023,F,Y41,41.0,ALL,TOTAL,93
082023,2024,F,Y41,41.0,ALL,TOTAL,61
082023,2021,F,Y42,42.0,ALL,FRGAPO,1
082023,2022,F,Y42,42.0,ALL,FRGAPO,2
082023,2023,F,Y42,42.0,ALL,FRGAPO,1
082023,2024,F,Y42,42.0,ALL,FRGAPO,2
082023,2021,F,Y42,42.0,ALL,ITL,84
082023,2022,F,Y42,42.0,ALL,ITL,95
082023,2023,F,Y42,42.0,ALL,ITL,91
082023,2024,F,Y42,42.0,ALL,ITL,91
082023,2021,F,Y42,42.0,ALL,TOTAL,85
082023,2022,F,Y42,42.0,ALL,TOTAL,97
082023,2023,F,Y42,42.0,ALL,TOTAL,92
082023,2024,F,Y42,42.0,ALL,TOTAL,93
082023,2022,F,Y43,43.0,ALL,FRGAPO,1
082023,2023,F,Y43,43.0,ALL,FRGAPO,3
082023,2024,F,Y43,43.0,ALL,FRGAPO,1
082023,2021,F,Y43,43.0,ALL,ITL,105
082023,2022,F,Y43,43.0,ALL,ITL,85
082023,2023,F,Y43,43.0,ALL,ITL,92
082023,2024,F,Y43,43.0,ALL,ITL,88
082023,2021,F,Y43,43.0,ALL,TOTAL,105
082023,2022,F,Y43,43.0,ALL,TOTAL,86
082023,2023,F,Y43,43.0,ALL,TOTAL,95
082023,2024,F,Y43,43.0,ALL,TOTAL,89
082023,2021,F,Y44,44.0,ALL,FRGAPO,2
082023,2023,F,Y44,44.0,ALL,FRGAPO,1
082023,2024,F,Y44,44.0,ALL,FRGAPO,4
082023,2021,F,Y44,44.0,ALL,ITL,89
082023,2022,F,Y44,44.0,ALL,ITL,103
082023,2023,F,Y44,44.0,ALL,ITL,86
082023,2024,F,Y44,44.0,ALL,ITL,91
082023,2021,F,Y44,44.0,ALL,TOTAL,91
082023,2022,F,Y44,44.0,ALL,TOTAL,103
082023,2023,F,Y44,44.0,ALL,TOTAL,87
082023,2024,F,Y44,44.0,ALL,TOTAL,95
082023,2021,F,Y45,45.0,ALL,FRGAPO,2
082023,2022,F,Y45,45.0,ALL,FRGAPO,3
082023,2024,F,Y45,45.0,ALL,FRGAPO,1
082023,2021,F,Y45,45.0,ALL,ITL,91
082023,2022,F,Y45,45.0,ALL,ITL,88
082023,2023,F,Y45,45.0,ALL,ITL,102
082023,2024,F,Y45,45.0,ALL,ITL,87
082023,2021,F,Y45,45.0,ALL,TOTAL,93
082023,2022,F,Y45,45.0,ALL,TOTAL,91
082023,2023,F,Y45,45.0,ALL,TOTAL,102
082023,2024,F,Y45,45.0,ALL,TOTAL,88
082023,2021,F,Y46,46.0,ALL,FRGAPO,2
082023,2022,F,Y46,46.0,ALL,FRGAPO,2
082023,2023,F,Y46,46.0,ALL,FRGAPO,3
082023,2021,F,Y46,46.0,ALL,ITL,69
082023,2022,F,Y46,46.0,ALL,ITL,92
082023,2023,F,Y46,46.0,ALL,ITL,88
082023,2024,F,Y46,46.0,ALL,ITL,96
082023,2021,F,Y46,46.0,ALL,TOTAL,71
082023,2022,F,Y46,46.0,ALL,TOTAL,94
082023,2023,F,Y46,46.0,ALL,TOTAL,91
082023,2024,F,Y46,46.0,ALL,TOTAL,96
082023,2022,F,Y47,47.0,ALL,FRGAPO,2
082023,2023,F,Y47,47.0,ALL,FRGAPO,2
082023,2024,F,Y47,47.0,ALL,FRGAPO,3
082023,2021,F,Y47,47.0,ALL,ITL,89
082023,2022,F,Y47,47.0,ALL,ITL,70
082023,2023,F,Y47,47.0,ALL,ITL,89
082023,2024,F,Y47,47.0,ALL,ITL,90
082023,2021,F,Y47,47.0,ALL,TOTAL,89
082023,2022,F,Y47,47.0,ALL,TOTAL,72
082023,2023,F,Y47,47.0,ALL,TOTAL,91
082023,2024,F,Y47,47.0,ALL,TOTAL,93
082023,2023,F,Y48,48.0,ALL,FRGAPO,2
082023,2024,F,Y48,48.0,ALL,FRGAPO,1
082023,2021,F,Y48,48.0,ALL,ITL,85
082023,2022,F,Y48,48.0,ALL,ITL,88
082023,2023,F,Y48,48.0,ALL,ITL,70
082023,2024,F,Y48,48.0,ALL,ITL,93
082023,2021,F,Y48,48.0,ALL,TOTAL,85
082023,2022,F,Y48,48.0,ALL,TOTAL,88
082023,2023,F,Y48,48.0,ALL,TOTAL,72
082023,2024,F,Y48,48.0,ALL,TOTAL,94
082023,2021,F,Y49,49.0,ALL,FRGAPO,1
082023,2024,F,Y49,49.0,ALL,FRGAPO,2
082023,2021,F,Y49,49.0,ALL,ITL,107
082023,2022,F,Y49,49.0,ALL,ITL,83
082023,2023,F,Y49,49.0,ALL,ITL,88
082023,2024,F,Y49,49.0,ALL,ITL,69
082023,2021,F,Y49,49.0,ALL,TOTAL,108
082023,2022,F,Y49,49.0,ALL,TOTAL,83
082023,2023,F,Y49,49.0,ALL,TOTAL,88
082023,2024,F,Y49,49.0,ALL,TOTAL,71
082023,2021,F,Y5,5.0,ALL,ITL,57
082023,2022,F,Y5,5.0,ALL,ITL,50
082023,2023,F,Y5,5.0,ALL,ITL,64
