territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082053,2024,F,Y65,65.0,ALL,FRGAPO,125
082053,2021,F,Y65,65.0,ALL,ITL,4318
082053,2022,F,Y65,65.0,ALL,ITL,4448
082053,2023,F,Y65,65.0,ALL,ITL,4306
082053,2024,F,Y65,65.0,ALL,ITL,4485
082053,2021,F,Y65,65.0,ALL,TOTAL,4381
082053,2022,F,Y65,65.0,ALL,TOTAL,4537
082053,2023,F,Y65,65.0,ALL,TOTAL,4410
082053,2024,F,Y65,65.0,ALL,TOTAL,4610
082053,2021,F,Y66,66.0,ALL,FRGAPO,82
082053,2022,F,Y66,66.0,ALL,FRGAPO,65
082053,2023,F,Y66,66.0,ALL,FRGAPO,82
082053,2024,F,Y66,66.0,ALL,FRGAPO,99
082053,2021,F,Y66,66.0,ALL,ITL,4235
082053,2022,F,Y66,66.0,ALL,ITL,4277
082053,2023,F,Y66,66.0,ALL,ITL,4433
082053,2024,F,Y66,66.0,ALL,ITL,4283
082053,2021,F,Y66,66.0,ALL,TOTAL,4317
082053,2022,F,Y66,66.0,ALL,TOTAL,4342
082053,2023,F,Y66,66.0,ALL,TOTAL,4515
082053,2024,F,Y66,66.0,ALL,TOTAL,4382
082053,2021,F,Y67,67.0,ALL,FRGAPO,64
082053,2022,F,Y67,67.0,ALL,FRGAPO,77
082053,2023,F,Y67,67.0,ALL,FRGAPO,60
082053,2024,F,Y67,67.0,ALL,FRGAPO,76
082053,2021,F,Y67,67.0,ALL,ITL,4319
082053,2022,F,Y67,67.0,ALL,ITL,4213
082053,2023,F,Y67,67.0,ALL,ITL,4242
082053,2024,F,Y67,67.0,ALL,ITL,4408
082053,2021,F,Y67,67.0,ALL,TOTAL,4383
082053,2022,F,Y67,67.0,ALL,TOTAL,4290
082053,2023,F,Y67,67.0,ALL,TOTAL,4302
082053,2024,F,Y67,67.0,ALL,TOTAL,4484
082053,2021,F,Y68,68.0,ALL,FRGAPO,48
082053,2022,F,Y68,68.0,ALL,FRGAPO,60
082053,2023,F,Y68,68.0,ALL,FRGAPO,73
082053,2024,F,Y68,68.0,ALL,FRGAPO,59
082053,2021,F,Y68,68.0,ALL,ITL,4025
082053,2022,F,Y68,68.0,ALL,ITL,4265
082053,2023,F,Y68,68.0,ALL,ITL,4146
082053,2024,F,Y68,68.0,ALL,ITL,4217
082053,2021,F,Y68,68.0,ALL,TOTAL,4073
082053,2022,F,Y68,68.0,ALL,TOTAL,4325
082053,2023,F,Y68,68.0,ALL,TOTAL,4219
082053,2024,F,Y68,68.0,ALL,TOTAL,4276
082053,2021,F,Y69,69.0,ALL,FRGAPO,53
082053,2022,F,Y69,69.0,ALL,FRGAPO,52
082053,2023,F,Y69,69.0,ALL,FRGAPO,59
082053,2024,F,Y69,69.0,ALL,FRGAPO,71
082053,2021,F,Y69,69.0,ALL,ITL,4131
082053,2022,F,Y69,69.0,ALL,ITL,3966
082053,2023,F,Y69,69.0,ALL,ITL,4230
082053,2024,F,Y69,69.0,ALL,ITL,4137
082053,2021,F,Y69,69.0,ALL,TOTAL,4184
082053,2022,F,Y69,69.0,ALL,TOTAL,4018
082053,2023,F,Y69,69.0,ALL,TOTAL,4289
082053,2024,F,Y69,69.0,ALL,TOTAL,4208
082053,2021,F,Y7,7.0,ALL,FRGAPO,141
082053,2022,F,Y7,7.0,ALL,FRGAPO,158
082053,2023,F,Y7,7.0,ALL,FRGAPO,146
082053,2024,F,Y7,7.0,ALL,FRGAPO,152
082053,2021,F,Y7,7.0,ALL,ITL,2730
082053,2022,F,Y7,7.0,ALL,ITL,2762
082053,2023,F,Y7,7.0,ALL,ITL,2591
082053,2024,F,Y7,7.0,ALL,ITL,2667
082053,2021,F,Y7,7.0,ALL,TOTAL,2871
082053,2022,F,Y7,7.0,ALL,TOTAL,2920
082053,2023,F,Y7,7.0,ALL,TOTAL,2737
082053,2024,F,Y7,7.0,ALL,TOTAL,2819
082053,2021,F,Y70,70.0,ALL,FRGAPO,28
082053,2022,F,Y70,70.0,ALL,FRGAPO,54
082053,2023,F,Y70,70.0,ALL,FRGAPO,50
082053,2024,F,Y70,70.0,ALL,FRGAPO,56
082053,2021,F,Y70,70.0,ALL,ITL,3882
082053,2022,F,Y70,70.0,ALL,ITL,4088
082053,2023,F,Y70,70.0,ALL,ITL,3927
082053,2024,F,Y70,70.0,ALL,ITL,4192
082053,2021,F,Y70,70.0,ALL,TOTAL,3910
082053,2022,F,Y70,70.0,ALL,TOTAL,4142
082053,2023,F,Y70,70.0,ALL,TOTAL,3977
082053,2024,F,Y70,70.0,ALL,TOTAL,4248
082053,2021,F,Y71,71.0,ALL,FRGAPO,37
082053,2022,F,Y71,71.0,ALL,FRGAPO,27
082053,2023,F,Y71,71.0,ALL,FRGAPO,50
082053,2024,F,Y71,71.0,ALL,FRGAPO,49
082053,2021,F,Y71,71.0,ALL,ITL,3939
082053,2022,F,Y71,71.0,ALL,ITL,3823
082053,2023,F,Y71,71.0,ALL,ITL,4038
082053,2024,F,Y71,71.0,ALL,ITL,3877
082053,2021,F,Y71,71.0,ALL,TOTAL,3976
082053,2022,F,Y71,71.0,ALL,TOTAL,3850
082053,2023,F,Y71,71.0,ALL,TOTAL,4088
082053,2024,F,Y71,71.0,ALL,TOTAL,3926
082053,2021,F,Y72,72.0,ALL,FRGAPO,30
082053,2022,F,Y72,72.0,ALL,FRGAPO,36
082053,2023,F,Y72,72.0,ALL,FRGAPO,23
082053,2024,F,Y72,72.0,ALL,FRGAPO,46
082053,2021,F,Y72,72.0,ALL,ITL,3991
082053,2022,F,Y72,72.0,ALL,ITL,3866
082053,2023,F,Y72,72.0,ALL,ITL,3774
082053,2024,F,Y72,72.0,ALL,ITL,3978
082053,2021,F,Y72,72.0,ALL,TOTAL,4021
082053,2022,F,Y72,72.0,ALL,TOTAL,3902
082053,2023,F,Y72,72.0,ALL,TOTAL,3797
082053,2024,F,Y72,72.0,ALL,TOTAL,4024
082053,2021,F,Y73,73.0,ALL,FRGAPO,23
082053,2022,F,Y73,73.0,ALL,FRGAPO,29
082053,2023,F,Y73,73.0,ALL,FRGAPO,30
082053,2024,F,Y73,73.0,ALL,FRGAPO,22
082053,2021,F,Y73,73.0,ALL,ITL,4050
082053,2022,F,Y73,73.0,ALL,ITL,3917
082053,2023,F,Y73,73.0,ALL,ITL,3795
082053,2024,F,Y73,73.0,ALL,ITL,3735
082053,2021,F,Y73,73.0,ALL,TOTAL,4073
082053,2022,F,Y73,73.0,ALL,TOTAL,3946
082053,2023,F,Y73,73.0,ALL,TOTAL,3825
082053,2024,F,Y73,73.0,ALL,TOTAL,3757
082053,2021,F,Y74,74.0,ALL,FRGAPO,23
082053,2022,F,Y74,74.0,ALL,FRGAPO,23
082053,2023,F,Y74,74.0,ALL,FRGAPO,27
082053,2024,F,Y74,74.0,ALL,FRGAPO,29
