territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
082047,Mezzojuso,365469,4192350,23.4,20.6,25.6,29.2,27.9,1152,281,
082048,Misilmeri,363292,4209163,8.1,16.2,22.8,4.1,11.5,12468,345,vicino
082049,Monreale,331897,4201125,39.1,21.8,27.4,38.2,41.8,16863,227,
082050,Montelepre,340260,4216905,27.9,21.5,25.7,36.4,29.7,2579,274,
082051,Montemaggiore Belsito,391430,4188130,36.0,18.3,22.2,13.8,7.7,1366,360,
082052,Palazzo Adriano,358436,4169507,47.1,23.5,25.5,47.9,26.7,815,286,
082053,Palermo,352054,4222542,17.5,25.5,29.6,62.6,58.2,287287,163,
082054,Partinico,329046,4209214,39.7,21.5,28.3,36.4,50.0,13396,195,
082055,Petralia Soprana,422668,4183132,63.4,28.3,33.4,80.3,85.1,1328,58,
082056,Petralia Sottana,416303,4178283,60.9,32.4,33.1,93.1,82.1,1166,70,
082057,Piana degli Albanesi,350682,4203469,21.3,24.0,30.5,52.1,67.9,2432,125,
082058,Polizzi Generosa,409605,4181459,53.7,20.9,23.3,31.3,15.4,1329,330,
082059,Pollina,422973,4205379,55.7,24.5,32.3,55.6,78.5,1287,84,
082060,Prizzi,363435,4177408,38.5,17.5,23.8,9.2,17.9,1930,320,
082061,Roccamena,338681,4187421,40.8,18.6,24.0,16.9,18.5,601,318,
082062,Roccapalumba,381289,4184444,33.8,17.8,22.7,10.5,11.0,1006,347,
